id,url,label,coarse_label,html_title,meta_description,http_response,root_page_title,h1,h2,h3,h4,h5,h6,div_text
1,https://delcopa.gov/council/2016minutes/101216minutes.pdf,Policies & Contracts,Info About Agencies,"","",200,"","","","","","","",""
2,https://www.mass.gov/doc/coping-with-overdose-fatalities/download,Not Criminal Justice Related,Not Criminal Justice Related,"","",200,Mass.gov,[],[],[],[],[],[],""
3,http://www.longbeach.gov/police/press-releases/murder-7-/,Media Bulletins,Agency-Published Resources,MURDER(7),"",200,City of Long Beach,"[""Long Beach Police Department""]",[],[],[],[],[],"A- A A+ Long Beach Police Department Media Relations 400 W. Broadway Long Beach, CA 90802 (562) 570-5273 7/29/2014 FOR IMMEDIATE RELEASE Press Release # 2014 Subject: MURDER Contact: Media Relations Detail (562) 570-5273 VICTIM'S AGE WAS CORRECTED TO 25-YEARS-OLD On Friday, July 25, 2014, at approximately 11:00 p.m., Long Beach Police responded to a shooting in the 3200 block of Baltic Avenue, which ultimately led to the death of a male adult. Officers arrived and located a male adult who had been struck in the torso by gunfire.  He was transported to a local hospital and listed in critical condition. Their preliminary investigation indicated that the victim and some friends were sitting in front of a residence when a vehicle drove by, and an occupant of the vehicle fired multiple rounds at the group, striking the victim.  The vehicle then fled northbound on Baltic Avenue. Last night, July 28, 2014, Long Beach Police were notified that the victim, identified as 25-year-old Olatag Filemoni of Long Beach, had succumbed to his injuries. It doesn't appear the victim was affiliated with any gangs and a motive for the shooting is unknown and under investigation.  No suspect information is available at this time. Anyone who may have information regarding this incident is urged to contact Long Beach Police Homicide Detectives Mark McGuire and Greg Krabbe at (562) 570-7244.  Anonymous tips may be submitted by calling 1-800-222-TIPS (8477), texting TIPLA plus your tip to CRIMES (274637), or visiting www.lacrimestoppers.org . This information is preliminary and is intended for early information use rather than being a formal investigative report. About Long Beach Police Department The mission of the Long Beach Police Department is to enhance public safety through partnerships, while providing a safe City for all people. For more information on the Police Department, please visit us at www.longbeach.gov/police . Follow us on social media to stay connected: Facebook , Twitter , and Instagram . "
4,https://www.lynchburgvapolice.gov/wp-content/uploads/2021/05/img_1545.jpg,Poor Data Source,Poor Data Source,"","",404,"","","","","","","",""
5,http://police.portlandmaine.gov/526/permit-license-fees,Resources,Agency-Published Resources,"Permit & License Fees | Portland, ME - Official Website",See a list of permit and license fees.,200,"Portland, ME - Official Website | Official Website","[""Permit & License Fees""]",[],[],[],[],[],Skip to Main Content Pay & Apply Your Government Services Business Community Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Government Websites by CivicPlus® Pay & Apply Your Government Services Business Community Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Government Websites by CivicPlus® Pay & Apply Your Government Services Business Community Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Government Websites by CivicPlus® Pay & Apply Your Government Services Business Community Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Government Websites by CivicPlus® Pay & Apply Your Government Services Business Community Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Home Your Government Departments Public Works Street Openings Permit & License Fees Permit & License Fees Permit & License Fees Permit & License Fees Permit Types Traffic Control Plan Permit & License Fees Permit Types Traffic Control Plan Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® Government Websites by CivicPlus® 
6,https://www.arlingtontx.gov/news/my_arlington_t_x/news_archive/2012_and_prior_archived_news/police_graduate_18_recruits,Personnel Records,Info About Officers,Police Graduate 18 Recruits - City of Arlington,"",200,Just a moment...,"[""YOUR COMMUNITY NEWS AND EVENTS"", ""City of Arlington""]","[""Police Graduate 18 Recruits""]",[],[],[],[],Skip to Content Skip to Content 
7,https://police.greenvillesc.gov/1996/getting-here-parking,Contact Info & Agency Meta,Info About Agencies,"Getting Here & Parking | Greenville, SC - Official Website","Find location information, directions and parking for Unity Park.",200,"Police Department | Greenville, SC - Official Website","[""Getting Here & Parking""]","[""WEEKEND TROLLEY""]","[""GETTING HERE"", ""Parking"", ""click map for downloadable pdf"", ""Loading""]","[""Parking Garages"", ""Swamp Rabbit Trail""]",[],[],"Skip to Main Content Visit Rentals & Reservations About the Park Donate Contact Search Home Departments Parks, Recreation & Tourism Unity Park Visit Getting Here & Parking Getting Here & Parking GETTING HERE 320 S. Hudson Street Greenville, SC 29601 WEEKEND TROLLEY The Route 903 trolley serves Unity Park on Fridays, Saturdays and Sundays. To board the trolley, passengers must stand near one of the trolley stop signs. Service will be be approximately every 30 minutes. This route operates seasonally from April to September. Friday from 4 p.m. - 11 p.m. Saturday from 10 a.m. - 11 p.m. Sunday from 10 a.m. to 8 p.m. West End Route Map (PDF) Parking Complimentary public parking is available. Please park in designated parking spots only. Parking Garages Unity Park can be accessed via the Swamp Rabbit Trail from any of downtown Greenville’s parking garages. Current Map of Parking Garage Locations Swamp Rabbit Trail Unity Park can be accessed via the Swamp Rabbit Trail System . click map for downloadable pdf Destinations Playgrounds & Splash Pad Prisma Health Welcome Center Trails & Bridges Art in the Park The Holloway Trail The Reedy River Wetlands Honor Tower Nearby Vendors Legacy College Basketball Courts Greenspaces Hours & Park Guidelines Getting Here & Parking FAQs Field Trips Unity Park Map Tour Unity Park Downtown Special Events Parking unity park falls park Bus & Trolley AFFORDABLE HOUSING Agendas & Minutes Home Contact Us Accessibility /QuickLinks.aspx 206 S Main Street, Greenville, SC 29601 Police Non-Emergency: 864-271-5333 Greenville Cares Information Center 864-232-2273 Back to Top Enable Google Translate "
8,http://lafayettepolice.us/3386/donate,Resources,Agency-Published Resources,"","",404,"","","","","","","",""
9,http://www.lafayettepolice.us/2111/youth-classes-and-weekend-workshops,Misc Police Activity,Police & Public Interactions,"Youth Classes and Weekend Workshops | Lafayette, IN - Official Website","",200,"Police Department | Lafayette, IN - Official Website","[""Youth Classes and Weekend Workshops""]",[],"[""Select a Program:"", ""Contact Us"", ""FAQs"", ""Site Links"", ""Loading""]",[],[],[],"Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search Plan Your Visit About the Zoo Get Involved Education Programs Special Events I Want To... Home Government Departments H - W Parks & Recreation Facilities Columbian Park Zoo Education Programs Family & Youth Programs Youth Classes and Weekend Workshops Youth Classes and Weekend Workshops Learning comes to life with these fun and exciting classes and weekend workshops. Select a Program: AGES: 5-7 YEARS AGES: 8-11 YEARS Critter Classes Wildlife Workshops Aquatics McAllister Center Rentals Zoo Contact Us 20 N 6th Street Lafayette, IN  47901 Phone: 765-807-1000 FAQs How do I navigate the Lafayette website? Do I need to create an account? How do I find something fun and exciting to do in Lafayette? How do I report a pothole or damaged street? /FAQ.aspx Site Links Home Accessibility Contact Us Copyright Notices Site Map /QuickLinks.aspx Government Websites by CivicPlus® Enable Google Translate Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search Plan Your Visit About the Zoo Get Involved Education Programs Special Events I Want To... Home Government Departments H - W Parks & Recreation Facilities Columbian Park Zoo Education Programs Family & Youth Programs Youth Classes and Weekend Workshops Youth Classes and Weekend Workshops Learning comes to life with these fun and exciting classes and weekend workshops. Select a Program: AGES: 5-7 YEARS AGES: 8-11 YEARS Critter Classes Wildlife Workshops Aquatics McAllister Center Rentals Zoo Contact Us 20 N 6th Street Lafayette, IN  47901 Phone: 765-807-1000 FAQs How do I navigate the Lafayette website? Do I need to create an account? How do I find something fun and exciting to do in Lafayette? How do I report a pothole or damaged street? /FAQ.aspx Site Links Home Accessibility Contact Us Copyright Notices Site Map /QuickLinks.aspx Government Websites by CivicPlus® Enable Google Translate Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In "
10,https://norfolkne.gov/assets/site/documentcentral/police/archived-arrests/2020-arrests/may-arrests.pdf,Arrest Records,Police & Public Interactions,"","",404,"","","","","","","",""
